Designator,Mid X,Mid Y,Rotation,Layer
C1,175.26,-44.1575,270.0,top
C10,232.41,-89.8775,270.0,top
C11,175.26,-108.9275,270.0,top
C12,194.31,-108.9275,270.0,top
C13,213.36,-108.9275,270.0,top
C14,232.41,-108.9275,270.0,top
C15,180.0352,-127.9775,270.0,top
C16,203.835,-127.9775,270.0,top
C17,227.6602,-127.9775,270.0,top
C18,150.257323,-64.77,0.0,top
C19,184.785,-58.7125,270.0,top
C2,232.41,-44.1575,270.0,top
C20,203.835,-58.7125,270.0,top
C21,222.885,-58.7125,270.0,top
C22,241.935,-58.7125,270.0,top
C23,184.785,-77.7625,270.0,top
C24,203.835,-77.7625,270.0,top
C25,222.885,-77.7625,270.0,top
C26,241.935,-77.7625,270.0,top
C27,184.785,-96.8125,270.0,top
C28,203.835,-96.8125,270.0,top
C29,222.885,-96.8125,270.0,top
C3,175.26,-70.8275,270.0,top
C30,241.935,-96.8125,270.0,top
C31,190.5,-115.8625,270.0,top
C32,214.3125,-115.8625,270.0,top
C33,238.125,-115.8625,270.0,top
C4,194.31,-70.8275,270.0,top
C5,213.36,-70.8275,270.0,top
C6,232.41,-70.8275,270.0,top
C7,175.26,-89.8775,270.0,top
C8,194.31,-89.8775,270.0,top
C9,213.36,-89.8775,270.0,top
D1,180.975,-44.97,0.0,top
D10,238.125,-90.695,0.0,top
D11,180.975,-109.745,0.0,top
D12,200.025,-109.745,0.0,top
D13,219.075,-109.745,0.0,top
D14,238.125,-109.745,0.0,top
D15,185.7375,-128.795,0.0,top
D16,209.55,-128.795,0.0,top
D17,233.3625,-128.795,0.0,top
D2,238.125,-44.975,0.0,top
D3,180.975,-71.645,0.0,top
D4,200.025,-71.645,0.0,top
D5,219.075,-71.645,0.0,top
D6,238.125,-71.645,0.0,top
D7,180.975,-90.695,0.0,top
D8,200.025,-90.695,0.0,top
D9,219.075,-90.695,0.0,top
J1,209.54,-32.385,270.0,top
R1,150.125,-123.825,0.0,top
R10,209.55,-64.77,0.0,top
R11,228.6,-57.15,0.0,top
R12,228.6,-60.96,0.0,top
R13,228.6,-64.77,0.0,top
R14,171.45,-78.105,0.0,top
R15,171.45,-81.915,0.0,top
R16,171.45,-85.725,0.0,top
R17,190.5,-76.2,0.0,top
R18,190.5,-80.01,0.0,top
R19,190.5,-83.82,0.0,top
R2,171.45,-59.055,0.0,top
R20,209.55,-76.2,0.0,top
R21,209.55,-80.01,0.0,top
R22,209.55,-83.82,0.0,top
R23,228.6,-76.2,0.0,top
R24,228.6,-80.01,0.0,top
R25,228.6,-83.82,0.0,top
R26,171.45,-97.155,0.0,top
R27,171.45,-100.965,0.0,top
R28,171.45,-104.775,0.0,top
R29,190.5,-95.25,0.0,top
R3,171.45,-62.865,0.0,top
R30,190.5,-99.06,0.0,top
R31,190.5,-102.87,0.0,top
R32,209.55,-95.25,0.0,top
R33,209.55,-99.06,0.0,top
R34,209.55,-102.87,0.0,top
R35,228.6,-95.25,0.0,top
R36,228.6,-99.06,0.0,top
R37,228.6,-102.87,0.0,top
R38,176.2125,-116.205,0.0,top
R39,176.2125,-120.015,0.0,top
R4,171.45,-66.675,0.0,top
R40,176.2125,-123.825,0.0,top
R41,200.025,-116.205,0.0,top
R42,200.025,-120.015,0.0,top
R43,200.025,-123.825,0.0,top
R44,223.8375,-116.205,0.0,top
R45,223.8375,-120.015,0.0,top
R46,223.8375,-123.825,0.0,top
R5,190.5,-57.15,0.0,top
R6,190.5,-60.96,0.0,top
R7,190.5,-64.77,0.0,top
R8,209.55,-57.15,0.0,top
R9,209.55,-60.96,0.0,top
S1,180.975,-40.005,0.0,top
S10,238.125,-85.725,0.0,top
S11,180.975,-104.775,0.0,top
S12,200.025,-104.775,0.0,top
S13,219.075,-104.775,0.0,top
S14,238.125,-104.775,0.0,top
S15,185.7375,-123.825,0.0,top
S16,209.55,-123.825,0.0,top
S17,233.3625,-123.825,0.0,top
S2,238.125,-40.005,0.0,top
S3,180.975,-66.675,0.0,top
S4,200.025,-66.675,0.0,top
S5,219.075,-66.675,0.0,top
S6,238.125,-66.675,0.0,top
S7,180.975,-85.725,0.0,top
S8,200.025,-85.725,0.0,top
S9,219.075,-85.725,0.0,top
U1,180.975,-57.35,0.0,top
U10,200.025,-95.45,0.0,top
U11,219.075,-95.45,0.0,top
U12,238.125,-95.45,0.0,top
U13,185.7375,-114.5,0.0,top
U14,209.55,-114.5,0.0,top
U15,233.3625,-114.5,0.0,top
U16,150.12684,-93.345,180.0,top
U2,200.025,-57.35,0.0,top
U3,219.075,-57.35,0.0,top
U4,238.125,-57.35,0.0,top
U5,180.975,-76.4,0.0,top
U6,200.025,-76.4,0.0,top
U7,219.075,-76.4,0.0,top
U8,238.125,-76.4,0.0,top
U9,180.975,-95.45,0.0,top
